"A company with this email address already exists","Ya existe una empresa con esta dirección de correo electrónico"
"A company with this Tax ID already exists","Ya existe una empresa con este ID fiscal"
"A company with this Tax/VAT ID already exists","Ya existe una empresa con este ID fiscal/IVA"
"A customer with email %1 already exists in this website","Ya existe un cliente con el correo electrónico %1 en este sitio web"
"A customer with this email address already exists","Ya existe un cliente con esta dirección de correo electrónico"
Actions,Acciones
Active,Activo
"Add New Company","Agregar Nueva Empresa"
"Add New Company User","Agregar Nuevo Usuario de Empresa"
"Add New User","Agregar Nuevo Usuario"
"An error occurred while loading the user","Ocurrió un error al cargar el usuario"
"An error occurred while processing your request. Please try again.","Ocurrió un error al procesar su solicitud. Por favor, inténtelo de nuevo."
Approved,Aprobado
"Are you sure you want to delete a company?","¿Está seguro de que desea eliminar esta empresa?"
"Are you sure you want to delete this user?","¿Está seguro de que desea eliminar este usuario?"
Assign,Asignar
Back,Volver
"By checking this box, you accept our","Al marcar esta casilla, acepta nuestros"
"Change status for this user?","¿Cambiar estado para este usuario?"
City,Ciudad
Companies,Empresas
Company,Empresa
"Company Address","Dirección de la Empresa"
"Company Administrator","Administrador de la Empresa"
"Company Assignment","Asignación de Empresa"
"Company Email","Correo electrónico de la Empresa"
"Company Email cannot be the same as the Company Administrator Email","El correo electrónico de la empresa no puede ser el mismo que el del administrador"
"Company has been saved","La empresa ha sido guardada"
"Company Information","Información de la Empresa"
"Company Legal Name","Razón Social de la Empresa"
"Company Name","Nombre de la Empresa"
"Company Registration Received","Registro de Empresa Recibido"
"Company Role","Rol en la Empresa"
"Company Users","Usuarios de la Empresa"
"Company with id ""%1"" does not exist","La empresa con id ""%1"" no existe"
"Continue Shopping","Continuar Comprando"
"Could not assign customer to company: %1","No se pudo asignar el cliente a la empresa: %1"
"Could not delete customer account: %1","No se pudo eliminar la cuenta del cliente: %1"
"Could not remove customer from company: %1","No se pudo quitar el cliente de la empresa: %1"
Country,País
"Create a Company","Crear una Empresa"
"Create a Company Account","Crear una Cuenta de Empresa"
"Create an Account","Crear una Cuenta"
"Creating a company account to access b2b purchases","Crear una cuenta de empresa para acceder a compras B2B"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more","Crear una cuenta tiene muchos beneficios: pague más rápido, guarde más de una dirección, realice seguimiento de pedidos y más"
Delete,Eliminar
"Delete Company","Eliminar Empresa"
"Delete User","Eliminar Usuario"
Disable,Deshabilitar
Disabled,Deshabilitado
Edit,Editar
"Edit Company","Editar Empresa"
"Edit Company User","Editar Usuario de Empresa"
"Edit User","Editar Usuario"
Email,"Correo electrónico"
Enable,Habilitar
Enabled,Habilitado
"Error deleting user: %1","Error al eliminar el usuario: %1"
"Error saving user: %1","Error al guardar el usuario: %1"
"Error sending email: %1","Error al enviar el correo electrónico: %1"
"Error updating status: %1","Error al actualizar el estado: %1"
"Error updating user status: %1","Error al actualizar el estado del usuario: %1"
"First Name","Nombre"
ID,ID
Inactive,Inactivo
"Invalid form key. Please try again","Clave de formulario inválida. Por favor, inténtelo de nuevo"
"Invalid status value","Valor de estado inválido"
"Last Name","Apellido"
"Manage Companies","Gestionar Empresas"
"Max Amount per Period","Monto Máximo por Período"
"Max Amount per Purchase","Monto Máximo por Compra"
Name,Nombre
"New Company","Nueva Empresa"
"New Customers","Nuevos Clientes"
"No users found for this company","No se encontraron usuarios para esta empresa"
"Page not found","Página no encontrada"
Pending,Pendiente
"Phone Number","Número de Teléfono"
"Please correct the data sent","Por favor, corrija los datos enviados"
"Please enter a valid email address","Por favor, ingrese una dirección de correo electrónico válida"
"Please select","Por favor, seleccione"
"Please select a company role","Por favor, seleccione un rol de empresa"
"Please select a Company Role","Por favor, seleccione un Rol de Empresa"
Rejected,Rechazado
"* Required Fields","* Campos Obligatorios"
Role,Rol
"Role with id ""%1"" does not exist","El rol con id ""%1"" no existe"
"Save Company","Guardar Empresa"
"Save User","Guardar Usuario"
"Select a Role","Seleccionar un Rol"
"Something went wrong while saving the company","Algo salió mal al guardar la empresa"
"State/Province","Estado/Provincia"
Status,Estado
"Street Address","Dirección"
"Submit Request","Enviar Solicitud"
Suspended,Suspendido
"Tax ID / VAT","CUIT / IVA"
"terms and conditions","términos y condiciones"
"Thank you for your company registration request","Gracias por su solicitud de registro de empresa"
"The Company Email and the Company Administrator Email cannot be the same","El correo electrónico de la empresa y el del administrador no pueden ser iguales"
"The company has been deleted","La empresa ha sido eliminada"
"The user and customer account have been deleted","El usuario y la cuenta del cliente han sido eliminados"
"The user has been %1","El usuario ha sido %1"
"The user has been created and notified","El usuario ha sido creado y notificado"
"The user has been updated","El usuario ha sido actualizado"
"This company already has an administrator. Only one administrator is allowed","Esta empresa ya tiene un administrador. Solo se permite un administrador"
"This company must have an administrator. You cannot demote the only administrator","Esta empresa debe tener un administrador. No puede degradar al único administrador"
"This customer is already assigned to a company","Este cliente ya está asignado a una empresa"
"Unassign from Company","Desasignar de Empresa"
"User Information","Información del Usuario"
"User not found","Usuario no encontrado"
"User removed from company, but could not delete customer account: %1","Usuario quitado de la empresa, pero no se pudo eliminar la cuenta del cliente: %1"
Website,"Sitio web"
"We have received your application and it is currently under review","Hemos recibido su solicitud y actualmente está siendo revisada"
"You cannot assign the Company Admin role","No puede asignar el rol de Administrador de Empresa"
"You cannot change your own status","No puede cambiar su propio estado"
"You cannot delete yourself","No puede eliminarse a sí mismo"
"You cannot edit your own account permissions","No puede editar los permisos de su propia cuenta"
"You cannot manage a user who does not belong to your company","No puede gestionar un usuario que no pertenece a su empresa"
"You do not have permission to manage company assignments","No tiene permiso para gestionar asignaciones de empresa"
"You do not have permission to manage users","No tiene permiso para gestionar usuarios"
"Your account is not enabled or your company has not yet been enabled","Su cuenta no está habilitada o su empresa aún no ha sido habilitada"
"You will receive an email notification once your request has been processed","Recibirá una notificación por correo electrónico una vez que su solicitud haya sido procesada"
"ZIP/Postal Code","Código Postal"
"Allow Frontend Customer Registration","Permitir Registro de Clientes en el Frontend"
"Comma-separated list of email addresses","Lista de correos electrónicos separados por comas"
"Company (B2B)","Empresa (B2B)"
"Company - New Account No Password Template","Empresa - Plantilla de Nueva Cuenta Sin Contraseña"
"Company - Status Change Template","Empresa - Plantilla de Cambio de Estado"
"Customer Login","Inicio de Sesión del Cliente"
Customers,Clientes
"Email Notification","Notificación por Correo electrónico"
"Email Template","Plantilla de Correo electrónico"
"Email template for company users created without password","Plantilla de correo para usuarios de empresa creados sin contraseña"
"Email template sent to the company email when its status changes","Plantilla de correo enviada a la empresa cuando cambia su estado"
"Enable New Company Notification","Habilitar Notificación de Nueva Empresa"
"Notification Email Address","Dirección de Correo electrónico para Notificaciones"
"Request a New Company Account","Solicitar una Nueva Cuenta de Empresa"
"Require Approval for Customer","Requerir Aprobación para Cliente"
"Company Management","Gestión de Empresas"
